,fantaSquad,role,name,team,image
146,Beverly INPS,A,Nicolás González,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/GONZALEZ-N.png
147,Beverly INPS,A,Lautaro Martínez,Inter,https://content.fantacalcio.it/web/campioncini/card2021/MARTINEZ-L.png
148,Beverly INPS,A,Dries Mertens,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/MERTENS.png
149,Beverly INPS,A,M&#039;Bala Nzola,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/NZOLA.png
150,MEZAFE,P,Alex Cordaz,Inter,https://content.fantacalcio.it/web/campioncini/card2021/CORDAZ.png
151,MEZAFE,P,Samir Handanovic,Inter,https://content.fantacalcio.it/web/campioncini/card2021/HANDANOVIC.png
152,MEZAFE,P,Ionut Radu,Inter,https://content.fantacalcio.it/web/campioncini/card2021/RADU-I.png
153,MEZAFE,D,Francesco Acerbi,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/ACERBI.png
154,MEZAFE,D,Leonardo Bonucci,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/BONUCCI.png
155,MEZAFE,D,Giorgio Chiellini,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/CHIELLINI.png
156,MEZAFE,D,Domenico Criscito,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/CRISCITO.png
157,MEZAFE,D,Danilo,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/DANILO.png
158,MEZAFE,D,Stefan de Vrij,Inter,https://content.fantacalcio.it/web/campioncini/card2021/DE-VRIJ.png
159,MEZAFE,D,Matija Nastasic,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/NASTASIC.png
160,MEZAFE,D,Davide Zappacosta,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/ZAPPACOSTA.png
161,MEZAFE,C,Gaetano Castrovilli,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/CASTROVILLI.png
162,MEZAFE,C,Bryan Cristante,Roma,https://content.fantacalcio.it/web/campioncini/card2021/CRISTANTE.png
163,MEZAFE,C,Weston McKennie,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/MCKENNIE.png
164,MEZAFE,C,Mario Pasalic,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/PASALIC.png
165,MEZAFE,C,Ivan Perisic,Inter,https://content.fantacalcio.it/web/campioncini/card2021/PERISIC.png
166,MEZAFE,C,Alexis Saelemaekers,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/SAELEMAEKERS.png
167,MEZAFE,C,Sandro Tonali,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/TONALI.png
168,MEZAFE,C,Simone Verdi,Torino,https://content.fantacalcio.it/web/campioncini/card2021/VERDI.png
169,MEZAFE,A,Joaquín Correa,Inter,https://content.fantacalcio.it/web/campioncini/card2021/CORREA.png
170,MEZAFE,A,Paulo Dybala,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/DYBALA.png
171,MEZAFE,A,Moise Kean,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/KEAN.png
172,MEZAFE,A,Fabio Quagliarella,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/QUAGLIARELLA.png
173,MEZAFE,A,Ante Rebic,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/REBIC.png
174,MEZAFE,A,Giovanni Simeone,Verona,https://content.fantacalcio.it/web/campioncini/card2021/SIMEONE.png
175,ssc mozzarella,P,Alessio Cragno,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/CRAGNO.png
176,ssc mozzarella,P,Rui Patrício,Roma,https://content.fantacalcio.it/web/campioncini/card2021/RUI-PATRICIO.png
177,ssc mozzarella,P,Jeroen Zoet,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/ZOET.png
178,ssc mozzarella,D,Berat Gjimshiti,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/DJIMSITI.png
179,ssc mozzarella,D,Denzel Dumfries,Inter,https://content.fantacalcio.it/web/campioncini/card2021/DUMFRIES.png
180,ssc mozzarella,D,Ibañez,Roma,https://content.fantacalcio.it/web/campioncini/card2021/IBANEZ.png
181,ssc mozzarella,D,Manuel Lazzari,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/LAZZARI.png
182,ssc mozzarella,D,Luiz Felipe,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/LUIZ-FELIPE.png
183,ssc mozzarella,D,Mário Rui,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/MARIO-RUI.png
184,ssc mozzarella,D,Chris Smalling,Roma,https://content.fantacalcio.it/web/campioncini/card2021/SMALLING.png
185,ssc mozzarella,D,Fikayo Tomori,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/TOMORI.png
186,ssc mozzarella,C,Federico Chiesa,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/CHIESA.png
187,ssc mozzarella,C,Remo Freuler,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/FREULER.png
188,ssc mozzarella,C,Mohamed Ihattaren,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/IHATTAREN.png
189,ssc mozzarella,C,Maxime Lopez,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/LOPEZ-M.png
190,ssc mozzarella,C,Henrikh Mkhitaryan,Roma,https://content.fantacalcio.it/web/campioncini/card2021/MKHITARYAN.png
191,ssc mozzarella,C,Roberto Pereyra,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/PEREYRA.png
192,ssc mozzarella,C,Fabián,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/RUIZ.png
193,ssc mozzarella,C,Lucas Torreira,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/TORREIRA.png
194,ssc mozzarella,A,Federico Bonazzoli,Salernitana,https://content.fantacalcio.it/web/campioncini/card2021/BONAZZOLI.png
195,ssc mozzarella,A,Josip Ilicic,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/ILICIC.png
196,ssc mozzarella,A,Victor Osimhen,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/OSIMHEN.png
197,ssc mozzarella,A,Leonardo Pavoletti,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/PAVOLETTI.png
198,ssc mozzarella,A,Matteo Politano,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/POLITANO.png
199,ssc mozzarella,A,Franck Ribéry,Salernitana,https://content.fantacalcio.it/web/campioncini/card2021/RIBERY.png
