fanta_team,role,player,team,image
Beverly INPS,C,Dennis Praet,Torino,https://content.fantacalcio.it/web/campioncini/card2021/PRAET.png
Beverly INPS,C,Jordan Veretout,Roma,https://content.fantacalcio.it/web/campioncini/card2021/VERETOUT.png
Beverly INPS,C,Piotr Zielinski,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/ZIELINSKI.png
Beverly INPS,A,Musa Barrow,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/BARROW.png
Beverly INPS,A,Domenico Berardi,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/BERARDI.png
Beverly INPS,A,Gerard Deulofeu,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/DEULOFEU.png
Beverly INPS,A,Nicolás González,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/GONZALEZ-N.png
Beverly INPS,A,Lautaro Martínez,Inter,https://content.fantacalcio.it/web/campioncini/card2021/MARTINEZ-L.png
Beverly INPS,A,Dries Mertens,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/MERTENS.png
MEZAFE,P,Alex Cordaz,Inter,https://content.fantacalcio.it/web/campioncini/card2021/CORDAZ.png
MEZAFE,P,Samir Handanovic,Inter,https://content.fantacalcio.it/web/campioncini/card2021/HANDANOVIC.png
MEZAFE,P,Ionut Radu,Inter,https://content.fantacalcio.it/web/campioncini/card2021/RADU-I.png
MEZAFE,D,Leonardo Bonucci,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/BONUCCI.png
MEZAFE,D,Giorgio Chiellini,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/CHIELLINI.png
MEZAFE,D,Domenico Criscito,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/CRISCITO.png
MEZAFE,D,Danilo,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/DANILO.png
MEZAFE,D,Lorenzo De Silvestri,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/DE-SILVESTRI.png
MEZAFE,D,Stefan de Vrij,Inter,https://content.fantacalcio.it/web/campioncini/card2021/DE-VRIJ.png
MEZAFE,D,Gianluca Mancini,Roma,https://content.fantacalcio.it/web/campioncini/card2021/MANCINI.png
MEZAFE,D,Davide Zappacosta,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/ZAPPACOSTA.png
MEZAFE,C,Gaetano Castrovilli,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/CASTROVILLI.png
MEZAFE,C,Darko Lazovic,Verona,https://content.fantacalcio.it/web/campioncini/card2021/LAZOVIC.png
MEZAFE,C,Weston McKennie,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/MCKENNIE.png
MEZAFE,C,Mario Pasalic,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/PASALIC.png
MEZAFE,C,Ivan Perisic,Inter,https://content.fantacalcio.it/web/campioncini/card2021/PERISIC.png
MEZAFE,C,Alexis Saelemaekers,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/SAELEMAEKERS.png
MEZAFE,C,Sandro Tonali,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/TONALI.png
MEZAFE,C,Simone Verdi,Salernitana,https://content.fantacalcio.it/web/campioncini/card2021/VERDI.png
MEZAFE,A,Paulo Dybala,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/DYBALA.png
MEZAFE,A,Krzysztof Piatek,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/PIATEK.png
MEZAFE,A,Fabio Quagliarella,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/QUAGLIARELLA.png
MEZAFE,A,Ante Rebic,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/REBIC.png
MEZAFE,A,Antonio Sanabria,Torino,https://content.fantacalcio.it/web/campioncini/card2021/SANABRIA.png
MEZAFE,A,Giovanni Simeone,Verona,https://content.fantacalcio.it/web/campioncini/card2021/SIMEONE.png
ssc mozzarella,P,Alessio Cragno,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/CRAGNO.png
